,,,,,,УТВЕРЖДАЮ,,,
,,,,,,"Директор МБОУ ""Лицей № 44"" г. Чебоксары",,,
,,,,,,___________________________ О.А.Чурбанова,,,
,,,,,"""_______"" _________________________ 202_ г. ",,,,
,,,,,,,,,
                               Расписание учебных занятий для 11 классов                           ,,,,,,,,,
     на  2025-2026 учебный год,,,,,,,,,
,,11а (ест),каб,11е (тех),каб,11и (соц),каб,,
понедельник,
,1,Разговоры о важном,305,Разговоры о важном,302,Разговоры о важном,101,1,понедельник
,2,Английский язык,318/320,Биология,306,История,101,2,
,3,Физическая культура,с/з,Русский язык,211,Инфоматика,311,3,
,4,Биология,306,Литература,211,Физическая культура,с/з,4,
,5,Алгебра,316,Английский язык,319/320,Биология,306,5,
,6,Экономические задачи,316,Алгебра,313,Алгебра,317,6,
,7,Литература,210,Геометрия,313,Русский язык,215,7,
,8,ОБЗР,118,,,,,8,
,,,,,,,,,
вторник,
,1,Вероятность и статистика,316,Информатика,302,География,207,1,вторник
,2,Обществознания,101,Физическая культура,с/з,ОБЗР,209,2,
,3,Английский язык,318/320,История,101,Родной рус. язык,215,3,
,4,Физика,301,Русский язык,211,Английский язык,319/320,4,
,5,Русский язык,210,Родная рус. литература,211,Обществознание,101,5,
,6,Алгебра,316,География,207,Алгебра,317,6,
,7,Биология,306,Геометрия,313,История,101,7,
,8,,,,,,,8,
,,,,,,,,,
среда,
,1,История,101,Алгебра,313,Алгебра,317,1,среда
,2,Английский язык,318/320,ОБЗР,118,Обществознание,101,2,
,3,Литература,210,Вероятность и статистика,313,Русский язык,215,3,
,4,Биология,306,Английский язык,319/320,Химия,305,4,
,5,Алгебра,316,Физика,304,Вероятность и статистика,317,5,
,6,Химия,305,История,101,Физика,301,6,
,7,Русский язык,210,Информатика,302,Геометрия,317,7,
,8,,,Физическая культура,с/з,,,8,
,,,,,,,,,
четверг,
,1,Россия - мои горизонты,305,Россия - мои горизонты,302,Россия - мои горизонты,101,1,четверг
,2,Геометрия,316,Химия,305,Литература,215,2,
,3,Литература,210,Родная рус. литература,211,Английский язык,319/320,3,
,4,География,207,Литература,211,Физика,301,4,
,5,Физическая культура,с/з,Обществознание,101,Геометрия,317,5,
,6,Родной рус. язык,210,Английский язык,319/320,Литература,215,6,
,7,Химия,305,Алгебра,313,Родной рус. язык,215,7,
,8,,,,,Физическая культура,с/з,,
,,,,,,,,,
пятница,
,1,Родной рус. язык,210,Геометрия,313,Литература,215,1,пятница
,2,Химия,305,Литература,211,Обществознание,101,2,
,3,История,101,Информатика,302,Родная рус. литература,215,3,
,4,Информатика,211,Информатика,302,Обществознание,101,4,
,5,Обществознание,101,Физика,304,Алгебра,317,5,
,6,Физика,301,Обществознание,101,Геометрия,317,6,
,7,Родная рус. литература,210,Алгебра,313,Английский язык,319/320,7,
,8,Кванториум химия,305,,,,,8,
,,36,,36,,36,,,
