,,,,УТВЕРЖДАЮ,,,,,,,,УТВЕРЖДАЮ,,,
,,,,"Директор МБОУ ""Лицей № 44"" г. Чебоксары",,,,,,,,"Директор МБОУ ""Лицей № 44"" г. Чебоксары",,,
,,,,___________________________ О.А.Чурбанова,,,,,,,,___________________________ О.А.Чурбанова,,,
,,,,"""_______"" _________________________ 202_ г. ",,,,,,,,"""_______"" _________________________ 202_ г. ",,,
,,,,,,,,,,,,,,,
                             Расписание учебных занятий для 5 классов                           ,,,,,,,,                             Расписание учебных занятий для 5 классов                           ,,,,,,,
     на  2025-2026 учебный год,,,,,,,,     на  2025-2026 учебный год,,,,,,,
,,5а,каб,5е,каб,,,,,5и,каб,5ю,каб,,
понедельник,
,1,Разговоры о важном,301,Разговоры о важном,308,1,понедельник,понедельник,1, Разговоры о важном,218, Разговоры о важном,220,1,понедельник
,2,Русский язык,217,Математика,310,2,,,2,Русский язык,218,Переход,112,2,
,3,Литература,102,Русский язык,215,3,,,3,Математика,312,Русский язык,217,3,
,4,Математика,317,Физическая культура,с/з,4,,,4,Переход,112,Математика,309,4,
,5,Переход,112,Английский язык,308,5,,,5,История,104,География,207,5,
,6,Труд,116/119,Переход,112,6,,,6,Английский язык,308/319,Физическая культура,с/з,6,
,7,Труд,116/119,,,7,,,7,Литература,218,Английский язык,301/308,7,
,,,,,,,,,,,,,,,
вторник,
,1,Математика,317,Русский язык,215,1,вторник,вторник,1,Русский язык,218,Русский язык,217,1,вторник
,2,История,104,География,207,2,,,2,Литература,218,Литература,217,2,
,3,Русский язык,217,Математика,310,3,,,3,Русский язык,218,Английский язык,308/319,3,
,4,География,207,Литература,215,4,,,4,Английский язык,308/306,Математика,309,4,
,5,Биология,112,Английский язык,308,5,,,5,Математика,312,История,104,5,
,6,Литература,311,Труд,116/119,6,,,6,История,104,Родной (рус./чув.) язык,218/204,6,
,7,Родной (рус./чув.) язык,218/204,Труд,116/119,7,,,7,,,,,7,
,,,,,,,,,,,,,,,
среда,1,Английский язык,308/320,Русский язык,215,1,среда,среда,1,Родной (рус./чув.) литерат,118/204,Математика,309,1,среда
,2,Русский язык,217,Родной (рус./чув.) язык,218/204,2,,,2,Математика,312,История,104,2,
,3,Математика,317,Биология,112,3,,,3,Физическая культура,с/з,Родной (рус./чув.) литерат,311/204,3,
,4,История,104,Математика,310,4,,,4,Русский язык,218,Биология,112,4,
,5,Литература,118,Литература,215,5,,,5,География,207,Русский язык,217,5,
,6,Физическая культура,с/з,История,104,6,,,6,Труд,116/119,Литература,217,6,
,7,,,,,7,,,7,Труд,116/119,,,7,
,,,,,,,,,,,,,,,
четверг,
,1,"Я, ты, он, она-
вместе целая страна",301,"Я, ты, он, она-
вместе целая страна",308,1,четверг,четверг,1,"Я, ты, он, она-
вместе целая страна",218,"Я, ты, он, она-
вместе целая страна",220,1,четверг
,2,Математика,317,Физическая культура,с/з,2,,,2,Английский язык,308/320,Русский язык,217,2,
,3,Родной (рус./чув.) литерат,311/204,Русский язык,215,3,,,3,Математика,312,Математика,309,3,
,4,Английский язык,308/320,Родной (рус./чув.) литерат,101/204,4,,,4,Биология ,112,История,104,4,
,5,Русский язык,217,Математика,310,5,,,5,Русский язык,218,Английский язык,119/308,5,
,6,ИЗО,219,Английский язык,308,6,,,6,Музыка,220,Труд,116/119,6,
,7,,,История,104,7,,,7,,,Труд,116/119,7,
,,,,,,,,,,,,,,,
пятница,
,1,История,104,Музыка,220,1,пятница,пятница,1,Литература,218,Математика,309,1,пятница
,2,Русский язык,217,Математика,310,2,,,2,ИЗО,219,Физическая культура,с/з,2,
,3,Физическая культура,с/з,История,104,3,,,3,Математика,312,ИЗО,219,3,
,4,Математика,317,Литература,215,4,,,4,История,104,Музыка,220,4,
,5,Музыка,220,ИЗО,219,5,,,5,Физическая культура,с/з,Русский язык,217,5,
,6,Английский язык,308/320,Русский язык,215,6,,,6,Родной (рус./чув.) язык,218/204,Литература,217,6,
,7,,,,,7,,,7,,,,,7,
,,32,,32,,,,,,32,,32,,,
