,,,,УТВЕРЖДАЮ,,,,,,,,УТВЕРЖДАЮ,,,,,
,,,,"Директор МБОУ ""Лицей № 44"" г. Чебоксары",,,,,,,,"Директор МБОУ ""Лицей № 44"" г. Чебоксары",,,,,
,,,,___________________________ О.А.Чурбанова,,,,,,,,___________________________ О.А.Чурбанова,,,,,
,,,,"""_______"" _________________________ 202_ г. ",,,,,,,,"""_______"" _________________________ 202_ г. ",,,,,
,,,,,,,,,,,,,,,,,
                             Расписание учебных занятий для 6 классов                           ,,,,,,,,,,,,                             Расписание учебных занятий для 6 классов                           ,,,,,
     на  2025-2026 учебный год,,,,,,,,,,     на  2025-2026 учебный год,,,,,,,
,,6а,каб,6е,каб,6и,каб,,,,,6э,каб,6ю,каб,,
понедельник,
,1,Разговоры о важном,209,Разговоры о важном,216, Разговоры о важном,104,1,понедельник,понедельник,1, Разговоры о важном,317,Разговоры о важном,315,1,понедельник
,2,Русский язык,215,Математика,312,Математика,309,2,,,2,Русский язык,214,ИЗО,212,2,
,3,Математика,309,Русский язык,216,История,104,3,,,3,Английский язык,318,Математика,315,3,
,4,Родная рус. литература,311,Литература,216,Труд,220/219,4,,,4,География,207,Английский язык,308,4,
,5,Математика,309,Английский язык,акт.з,Труд,220/219,5,,,5,Математика,317,История,102,5,
,6,Физическая культура,с/з,Родной (рус./чув.) язык,204/301,Русский язык,217,6,,,6,История,102,География,207,6,
,7,Литература,209,,,,,7,,,7,,,Русский язык,212,7,
,,,,,,,,,,,,,,,,,
вторник,1,
,Музыка,220,Литература,216,Биология,102,1,вторник,вторник,1,Физическая культура,с/з,Математика,315,1,вторник
,2,Русский язык,215,Биология,112,Математика,309,2,,,2,Математика,317,Черчение и конструирование,212,2,
,3,Литература,313,Математика,312,Физическая культура,с/з,3,,,3,Русский язык,214,Русский язык,212,3,
,4,Труд,118/219,Русский язык,216,Русский язык,217,4,,,4,Литература,214,История,102,4,
,5,Труд,102/219,Английский язык,301/313,Родной (рус./чув.) язык,204/311,5,,,5,Музыка,220,Физическая культура,с/з,5,
,6,ИЗО,219,Физическая культура,с/з,Английский язык,211/320,6,,,6,История,102,Музыка,220,6,
,7,,,История,104,Литература,217,7,,,7,,,Родной рус. язык,211,7,
,,,,,,,,,,,,,,,,,
среда,1,
,История,104,Музыка,220,Английский язык,209/119,1,среда,среда,1,Русский язык,214,Русский язык,212,1,среда
,2,Литература,311,Русский язык,216,Черчение и конструирование,308,2,,,2,Биология,112,Литература,212,2,
,3,Физическая культура,с/з,Математика,312,Русский язык,217,3,,,3,Черчение и конструирование,220,Математика,315,3,
,4,Английский язык,211/311,Физическая культура,с/з,Музыка,220,4,,,4,Английский язык,318,Труд,118/219,4,
,5,География,209,История,104,Математика,309,5,,,5,Литература,214,Труд,219,5,
,6,Русский язык,215,Литература,216,ИЗО,219,6,,,6,Математика,317,Английский язык,308,6,
,7,Математика,309,География,209,,,7,,,7,Родная рус. литература,102,,,7,
,,,,,,,,,,,,,,,,,
четверг,
,1,Россия - мои горизонты,209,Россия - мои горизонты,216,Россия - мои горизонты,104,1,четверг,четверг,1,Россия - мои горизонты,317,Россия - мои горизонты,315,1,четверг
,2,История,104,Математика,312,Математика,309,2,,,2,ИЗО,219,Родная рус.литература,311,2,
,3,Английский язык,308/318,История,104,Русский язык,217,3,,,3,Математика,317,История,102,3,
,4,Русский язык,215,Труд,116/119,Литература,217,4,,,4,Математика,317,Русский язык,212,4,
,5,Математика,309,Труд,116/119,История,104,5,,,5,Родной рус. язык,102,Литература,212,5,
,6,Биология,207,Русский язык,216,Физическая культура,с/з,6,,,6,История,102,Математика,315,6,
,7,,,,,,,7,,,7,,,,,7,
,,,,,,,,,,,,,,,,,
пятница,
,1,Черчение и конструирование,112,ИЗО,219,Английский язык,312/317,1,пятница,пятница,1,Литература,214,Физическая культура,с/з,1,пятница
,2,Русский язык,215,Русский язык,216,Родная (рус./чув.) литература,220/204,2,,,2,Английский язык,103,Биология,112,2,
,3,Английский язык,319/320,Родная (рус./чув.) литература,301/204,Русския язык,217,3,,,3,Русский язык,214,Английский язык,308,3,
,4,Математика,309,Математика,312,География,207,4,,,4,Физическая культура,с/з,Русский язык,212,4,
,5,История,104,Черчение и конструирование,118,Математика,309,5,,,5,Литература,214,Литература,212,5,
,6,Родной рус. язык,211,Английский язык,311/акт.з,История,104,6,,,6,Труд,116/119,Математика,315,6,
,7,,,,,Литература,217,7,,,7,Труд,116/119,,,7,
,,32,,32,,32,,,,,,32,,32,,,
