,,,,,,УТВЕРЖДАЮ,,,,,,,,,,УТВЕРЖДАЮ,,,
,,,,,,"Директор МБОУ ""Лицей № 44"" г. Чебоксары",,,,,,,,,,"Директор МБОУ ""Лицей № 44"" г. Чебоксары",,,
,,,,,,___________________________ О.А.Чурбанова,,,,,,,,,,___________________________ О.А.Чурбанова,,,
,,,,,,"""_______"" _________________________ 202_ г. ",,,,,,,,,,"""_______"" _________________________ 202_ г. ",,,
,,,,,,,,,,,,,,,,,,,
                                     Расписание учебных занятий для 8 классов                           ,,,,,,,,,,                                     Расписание учебных занятий для 8 классов                           ,,,,,,,,,
     на  2025-2026 учебный год,,,,,,,,,,     на  2025-2026 учебный год,,,,,,,,,
,,8а,каб,8е,каб,8и,каб,,,,,8э,каб,8ю,каб,8я,каб,,
понедельник,
,1,Разговоры о важном,210,Разговоры о важном,313,Разговоры о важном,204,1,понедельник,понедельник,1,Разговоры о важном,102,Разговоры о важном,314,Разговоры о важном,306,1,понедельник
,2,Геометрия,315,Английский язык,211/319,Физика,304,2,,,2,Музыка,220,История,104,Химия ,305,2,
,3,Русский язык,210,Вероятность и статистика,313,Биология,112,3,,,3,География,209,Русский язык,214,Родной (рус./чув.) язык,212/204,3,
,4,Литература,210,Геометрия,313,География,209,4,,,4,Английский язык,214/215,Химия,305,Родная (рус./чув) литература,212/204,4,
,5,Алгебра,315,Русский язык,215,Родной (рус./чув.) язык,218/204,5,,,5,Алгебра,310,Информатика,302,Английский язык,314/318,5,
,6,География,209,Физическая культура,с/з,История,104,6,,,6,Информатика,302,Алгебра,315,Алгебра,312,6,
,7,История,104,Химия,305,Обществознание ,102,7,,,7,Родной (рус./чув.) язык,216/204,Вероятность и статистика,315,Биология,306,7,
,8,,,,,,,8,,,8,,,,,,,8,
,,,,,,,,,,,,,,,,,,,
вторник,
,1,Физика,304,Алгебра,313,География,209,1,вторник,вторник,1,ОБЗР,118,Родная рус/чув. литература,214/204,Алгебра,312,1,вторник
,2,Русский язык,210,Музыка ,220,ОБЗР,118,2,,,2,Обществознание,102,Физика,304,Физика,301,2,
,3,Труд,116/119,География,209,История,104,3,,,3,Родной (рус./чув.) язык,216/204,Английский язык,210/314,История,102,3,
,4,История,104,Физическая культура,с/з,Литература,218,4,,,4,Алгебра,310,Алгебра,315,География,209,4,
,5,ОБЗР,118,Биология,306,Алгебра,309,5,,,5,Геометрия,310,География,209,Русский язык,212,5,
,6,Алгебра,315,Русский язык,215,Английский язык,308,6,,,6,Физика,304,Биология,306,Геометрия,312,6,
,7,Литература,210,Литература,215,Вероятность и статистика,309,7,,,7,Химия,305,Русский язык,214,Физическая культура,с/з,7,
,8,,,,,,,8,,,8,,,,,,,8,
,,,,,,,,,,,,,,,,,,,
среда,
,1,Химия,305,Английский язык,112/319,Русский язык,218,1,среда,среда,1,Труд,116/119,Обществознание,102,Английский язык,314/318,1,среда
,2,Музыка,220,Геометрия,313,Геометрия,309,2,,,2,Английский язык,119/319,Химия,305,Биология,306,2,
,3,Обществознание,102,История,104,Английский язык,308,3,,,3,Физика,304,Русский язык,214,Химия,305,3,
,4,Русский язык,210,Физика,304,Труд,116/119,4,,,4,География,209,Геометрия,315,Алгебра,312,4,
,5,Английский зык,314,Труд,116/119,Биология,112,5,,,5,Русский язык,216,Физическая культура,с/з,Информатика,302,5,
,6,Алгебра,315,География,209,Литература,218,6,,,6,Физическая культура,с/з,Музыка,220,Русский язык,212,6,
,7,Физика,304,Русский язык,215,Химия,305,7,,,7,Литература,216,История,104,Литература,212,7,
,8,,,,,,,8,,,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,
четверг,
,1,Россия - мои горизонты,210,Россия - мои горизонты,313,Россия - мои горизонты,204,1,четверг,четверг,1,Россия - мои горизонты,102,Россия - мои горизонты,314,Россия - мои горизонты,306,1,четверг
,2,Биология,306,Алгебра,313,Физическая культура,с/з,2,,,2,Алгебра,310,ОБЗР,118,Литература,212,2,
,3,Английский язык,314,Родной рус. язык,218,Химия,315,3,,,3,Биология,112,Труд,118/219,Музыка,220,3,
,4,Геометрия,315,Химия ,305,Информатика,302,4,,,4,Физическая культура,с/з,Английский язык,314/311,История,102,4,
,5,Родной рус. язык,210,Биология,306,Английский язык,313,5,,,5,Русский язык,216,Родной (рус./чув.) язык,214/204,Геометрия,312,5,
,6,География,209,История,104,Алгебра,309,6,,,6,Геометрия,310,Литература,214,ОБЗР,118,6,
,7,Физическая культура,с/з,ОБЗР,118,Русский язык,218,7,,,7,Английский язык,308/310,Физическая культура,с/з,Английский язык,314/318,7,
,8,,,,,,,8,,,8,,,,,,,8,
,,,,,,,,,,,,,,,,,,,
пятница,
,1,Вероятность и статистика,315,Английский язык,211/319,Физическая культура,с/з,1,пятница,пятница,1,История,102,Физика,304,Русский язык,212,1,пятница
,2,Информатика,302,Обществознание,102,Русский язык,218,2,,,2,Химия,318,География,209,Физическая культура,с/з,2,
,3,Биология,306,Алгебра,313,Музыка,220,3,,,3,История,102,Геометрия,315,География,209,3,
,4,Английский язык,314,Родная рус. литература,218,Физика,304,4,,,4,Русский язык,216,Биология,306,Труд,118/219,4,
,5,Химия,305,Информатика,302,Родная рус/чув. литература,218/204,5,,,5,Литература,216,Алгебра,315,Физика,301,5,
,6,Родная рус. литература,210,Физика,304,Алгебра,309,6,,,6,Вероятность и статистика,310,Литература,214,Обществознание ,102,6,
,7,Физическая культура,с/з,Литература,215,Геометрия,309,7,,,7,Биология,112,Английский язык,308/314,Вероятность и статистика,312,7,
,8,,,,,,,8,,,8,,,,,,,8,
,,35,,35,,35,,,,,,35,,35,,35,,,
