,,,,УТВЕРЖДАЮ,,,,,,,,,,УТВЕРЖДАЮ,,,,,,,,,,УТВЕРЖДАЮ,,,
,,,,"Директор МБОУ ""Лицей № 44"" г. Чебоксары",,,,,,,,,,"Директор МБОУ ""Лицей № 44"" г. Чебоксары",,,,,,,,,,"Директор МБОУ ""Лицей № 44"" г. Чебоксары",,,
,,,,___________________________ О.А.Чурбанова,,,,,,,,,,___________________________ О.А.Чурбанова,,,,,,,,,,___________________________ О.А.Чурбанова,,,
,,,,"""_______"" _________________________ 202_ г. ",,,,,,,,,,"""_______"" _________________________ 202_ г. ",,,,,,,,,,"""_______"" _________________________ 202_ г. ",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                     Расписание учебных занятий для 7 классов                           ,,,,,,,,,,                                     Расписание учебных занятий для 7 классов                           ,,,,,,,,,,                                     Расписание учебных занятий для 7 классов                           ,,,,,,,
     на  2025-2026 учебный год,,,,,,,,,,     на  2025-2026 учебный год,,,,,,,,,,     на  2025-2026 учебный год,,,,,,,
,,7а ,каб,7е,каб,7и,каб,,,,,7э,каб,7ю,каб,7я,каб,,,,,7с,каб,7т,каб,,
понедельник,
,1,Разговоры о важном,312,Разговоры о важном,103,Разговоры о важном,217,1,понедельник,понедельник,1,Разговоры о важном,311,Разговоры о важном,212,Разговоры о важном,112,1,понедельник,понедельник,1,Разговоры о важном,118,Разговоры о важном,310,1,понедельник
,2,Русский язык,216,Алгебра,317,Английский язык,308/314,2,,,2,Информатика,302,Труд,116/119,География ,207,2,,,2,Родной (рус./чув.) язык,102/204,История,103,2,
,3,Английский язык,314/320,Вероятность и статистика,317,Физика,301,3,,,3,Русский язык,218,Труд,116/119,Музыка,220,3,,,3,Английский язык,308/319,Алгебра,310,3,
,4,История,102,История,103,Русский язык,217,4,,,4,Литература,218,Физика,301,Алгебра,315,4,,,4,Труд,116/119,Английский язык,314/319,4,
,5,Физика,304,Русский язык,216,Литература,217,5,,,5,История,103,Русский язык,212,Моя семья,209,5,,,5,Труд,116/119,Родная рус. литература,311,5,
,6,Литература,216,Литература,218,Алгебра,309,6,,,6,Английский язык,220/320,Литература,212,История,103,6,,,6,Русский язык,214,Физика,304,6,
,7,Геометрия,312,Физика,304,Физическая культура,с/з,7,,,7,География,207,Вероятность и статистика,317,Русский язык,217,7,,,7,Алгебра,309,Информатика,302,7,
,8,,,,,,,8,,,8,,,,,,,8,,,8,,,,,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
вторник,
,1,Труд,116/219,Английский язык,119/320,Моя семья,112,1,вторник,вторник,1,Физическая культура,с/з,Английский язык,211/308,Родная рус. литература,301,1,вторник,вторник,1,Вероятность и статистика,309,Биология,104,1,вторник
,2,Труд,116/219,Русский язык,216,Родной (рус./чув.) язык,103/204,2,,,2,Алгебра,315,Физическая культура,с/з,Английский язык,312/314,2,,,2,Биология,211,Алгебра,310,2,
,3,Биология,220,Алгебра,317,Алгебра,309,3,,,3,Геометрия,315,История,103,Физика,304,3,,,3,Физическая культура,с/з,География,207,3,
,4,Алгебра,312,Родной (рус./чув.) язык,212/204,Биология,220,4,,,4,Моя семья,112,Алгебра,317,История,103,4,,,4,Физика,304,Труд,116/119,4,
,5,Русский язык,216,География,207,Русский язык,217,5,,,5,Русский язык,218,Геометрия,317,Биология,315,5,,,5,Русский язык,214,Труд,116/119,5,
